Date and Time;Value
13-12-2019;48.045624
21-9-2019;48.786288
14-9-2019;48.859440
31-8-2019;48.856392
24-8-2019;48.828960
17-8-2019;48.707040
10-8-2019;48.673512
3-8-2019;48.597312
20-7-2019;48.417480
13-7-2019;48.268128
6-7-2019;48.161448
29-6-2019;48.063912
15-6-2019;47.884080
8-6-2019;47.743872
1-6-2019;47.716440
18-5-2019;47.295816
11-5-2019;47.338488
4-5-2019;47.515272
28-4-2019;47.378112
13-4-2019;47.289720
6-4-2019;47.359824
30-3-2019;47.466504
16-3-2019;47.564040
9-3-2019;47.557944
4-3-2019;47.625000
23-2-2019;47.759112
16-2-2019;47.771304
9-2-2019;47.783496
26-1-2019;47.941992
19-1-2019;48.063912
12-1-2019;47.984664
5-1-2019;47.975520
29-12-2018;48.201072
22-12-2018;48.198024
15-12-2018;48.255936
8-12-2018;48.405288
2-12-2018;48.429672
24-11-2018;48.454056
10-11-2018;48.740568
3-11-2018;48.835056
27-10-2018;48.908208
20-10-2018;48.883824
13-10-2018;48.825912
6-10-2018;48.838104
28-9-2018;48.956976
22-9-2018;49.127664
15-9-2018;49.161192
9-9-2018;49.020984
1-9-2018;49.030128
26-8-2018;49.033176
19-8-2018;49.017936
11-8-2018;48.960024
4-8-2018;48.880776
28-7-2018;48.819816
21-7-2018;48.700944
7-7-2018;48.612552
30-6-2018;48.411384
23-6-2018;48.219360
18-6-2018;48.301656
2-6-2018;47.716440
27-5-2018;47.759112
19-5-2018;47.359824
12-5-2018;47.652432
5-5-2018;47.606712
28-4-2018;47.487840
21-4-2018;47.469552
14-4-2018;47.557944
7-4-2018;47.484792
31-3-2018;47.560992
25-3-2018;47.621952
17-3-2018;47.652432
11-3-2018;47.692056
3-3-2018;47.728632
24-2-2018;47.932848
17-2-2018;47.893224
10-2-2018;47.847504
3-2-2018;47.926752
29-1-2018;48.012096
20-1-2018;48.051720
13-1-2018;48.170592
6-1-2018;48.204120
30-12-2017;48.255936
23-12-2017;48.371760
16-12-2017;48.313848
9-12-2017;48.515016
2-12-2017;48.527208
25-11-2017;48.603408
18-11-2017;48.771048
11-11-2017;48.865536
4-11-2017;48.990504
28-10-2017;49.081944
21-10-2017;49.222152
14-10-2017;49.301400
7-10-2017;49.353216
30-9-2017;49.356264
23-9-2017;49.386744
16-9-2017;49.441608
9-9-2017;49.594008
2-9-2017;49.435512
26-8-2017;49.371504
19-8-2017;49.310544
12-8-2017;49.380648
8-8-2017;49.307496
5-8-2017;49.283112
29-7-2017;49.237392
22-7-2017;49.115472
15-7-2017;49.051464
8-7-2017;48.947832
1-7-2017;48.792384
24-6-2017;48.685704
17-6-2017;48.539400
10-6-2017;48.426624
3-6-2017;48.356520
27-5-2017;48.310800
20-5-2017;48.170592
13-5-2017;48.124872
6-5-2017;48.033432
29-4-2017;47.951136
22-4-2017;47.981616
15-4-2017;48.079152
8-4-2017;48.082200
1-4-2017;48.127920
26-3-2017;48.213264
18-3-2017;48.246792
4-3-2017;48.310800
25-2-2017;48.466248
18-2-2017;48.301656
11-2-2017;48.563784
4-2-2017;48.917352
28-1-2017;48.804576
14-1-2017;48.780192
7-1-2017;48.783240
31-12-2016;48.792384
25-12-2016;48.880776
17-12-2016;48.975264
10-12-2016;48.993552
3-12-2016;49.097184
26-11-2016;49.124616
19-11-2016;49.088040
12-11-2016;49.252632
5-11-2016;49.289208
29-10-2016;49.350168
22-10-2016;49.420272
15-10-2016;49.572672
8-10-2016;49.703736
1-10-2016;49.770792
24-9-2016;49.792128
17-9-2016;49.779936
10-9-2016;49.728120
4-9-2016;49.676304
27-8-2016;49.749456
20-8-2016;49.712880
13-8-2016;49.688496
6-8-2016;49.581816
30-7-2016;49.511712
23-7-2016;49.478184
18-7-2016;49.447704
10-7-2016;49.353216
2-7-2016;49.222152
25-6-2016;49.100232
18-6-2016;49.057560
11-6-2016;48.835056
5-6-2016;48.758856
28-5-2016;48.572928
21-5-2016;48.377856
14-5-2016;48.316896
7-5-2016;48.155352
30-4-2016;48.155352
23-4-2016;48.109632
16-4-2016;48.033432
9-4-2016;48.006000
2-4-2016;48.082200
26-3-2016;47.990760
19-3-2016;48.048672
12-3-2016;48.088296
5-3-2016;48.051720
27-2-2016;48.158400
20-2-2016;48.204120
13-2-2016;48.194976
6-2-2016;48.228504
30-1-2016;48.213264
23-1-2016;48.335184
16-1-2016;48.353472
9-1-2016;48.426624
2-1-2016;48.429672
27-12-2015;48.490632
19-12-2015;48.530256
12-12-2015;48.548544
5-12-2015;48.664368
28-11-2015;48.688752
21-11-2015;48.801528
14-11-2015;48.865536
7-11-2015;48.929544
31-10-2015;49.024032
24-10-2015;49.039272
17-10-2015;49.084992
10-10-2015;49.084992
3-10-2015;49.054512
26-9-2015;49.106328
19-9-2015;49.109376
12-9-2015;49.121568
5-9-2015;49.112424
31-8-2015;49.069752
22-8-2015;49.051464
15-8-2015;49.033176
8-8-2015;48.947832
1-8-2015;48.941736
25-7-2015;48.926496
18-7-2015;48.780192
11-7-2015;48.731424
4-7-2015;48.722280
27-6-2015;48.652176
20-6-2015;48.511968
13-6-2015;48.417480
6-6-2015;48.210216
30-5-2015;48.198024
23-5-2015;48.161448
16-5-2015;47.951136
9-5-2015;47.951136
2-5-2015;47.832264
25-4-2015;47.829216
18-4-2015;47.716440
11-4-2015;47.725584
4-4-2015;47.695104
28-3-2015;47.640240
21-3-2015;47.603664
14-3-2015;47.500032
7-3-2015;47.484792
1-3-2015;47.387256
21-2-2015;47.445168
14-2-2015;47.509176
7-2-2015;47.521368
31-1-2015;47.530512
24-1-2015;47.661576
17-1-2015;47.679864
10-1-2015;47.640240
3-1-2015;47.789592
27-12-2014;47.844456
20-12-2014;47.868840
13-12-2014;47.917608
6-12-2014;47.993808
29-11-2014;47.923704
22-11-2014;48.079152
15-11-2014;48.198024
8-11-2014;48.252888
1-11-2014;48.237648
25-10-2014;48.380904
20-10-2014;48.399192
11-10-2014;48.548544
4-10-2014;48.533304
27-9-2014;48.466248
21-9-2014;48.545496
13-9-2014;48.609504
6-9-2014;48.438816
30-8-2014;48.463200
9-8-2014;48.383952
2-8-2014;48.353472
26-7-2014;48.222408
19-7-2014;48.258984
12-7-2014;48.191928
5-7-2014;48.118776
28-6-2014;47.960280
21-6-2014;47.813976
14-6-2014;47.734728
7-6-2014;47.597568
31-5-2014;47.387256
24-5-2014;47.283624
17-5-2014;47.179992
10-5-2014;46.890432
3-5-2014;46.768512
26-4-2014;46.744128
21-4-2014;46.844712
12-4-2014;46.637448
6-4-2014;46.695360
29-3-2014;46.683168
22-3-2014;46.710600
15-3-2014;46.783752
8-3-2014;46.768512
1-3-2014;46.664880
22-2-2014;46.792896
15-2-2014;46.826424
8-2-2014;46.945296
1-2-2014;47.024544
26-1-2014;47.109888
18-1-2014;47.018448
11-1-2014;47.045880
4-1-2014;46.987968
28-12-2013;47.024544
21-12-2013;47.055024
15-12-2013;47.179992
7-12-2013;47.183040
1-12-2013;47.338488
23-11-2013;47.362872
16-11-2013;47.417736
9-11-2013;47.582328
2-11-2013;47.615856
26-10-2013;47.716440
19-10-2013;47.731680
12-10-2013;47.780448
5-10-2013;47.820072
28-9-2013;47.734728
21-9-2013;47.881032
14-9-2013;47.859696
7-9-2013;47.838360
31-8-2013;47.899320
24-8-2013;47.820072
17-8-2013;47.753016
10-8-2013;47.762160
3-8-2013;47.713392
