Date and Time;Value
7-9-2023;6.882384
6-9-2023;6.870192
5-9-2023;6.858000
4-9-2023;6.839712
3-9-2023;6.827520
2-9-2023;6.821424
1-9-2023;6.818376
31-8-2023;6.812280
30-8-2023;6.809232
29-8-2023;6.806184
28-8-2023;6.803136
27-8-2023;6.769608
26-8-2023;6.763512
25-8-2023;6.757416
24-8-2023;6.754368
23-8-2023;6.748272
22-8-2023;6.745224
21-8-2023;6.742176
20-8-2023;6.742176
19-8-2023;6.739128
18-8-2023;6.742176
17-8-2023;6.736080
16-8-2023;6.736080
15-8-2023;6.733032
14-8-2023;6.720840
13-8-2023;6.720840
12-8-2023;6.717792
11-8-2023;6.714744
10-8-2023;6.714744
9-8-2023;6.711696
8-8-2023;6.714744
7-8-2023;6.702552
6-8-2023;6.672072
5-8-2023;6.669024
4-8-2023;6.662928
3-8-2023;6.659880
2-8-2023;6.656832
1-8-2023;6.650736
31-7-2023;6.641592
30-7-2023;6.638544
29-7-2023;6.629400
28-7-2023;6.614160
27-7-2023;6.601968
26-7-2023;6.589776
25-7-2023;6.577584
24-7-2023;6.568440
23-7-2023;6.556248
22-7-2023;6.547104
21-7-2023;6.534912
20-7-2023;6.525768
19-7-2023;6.513576
18-7-2023;6.495288
17-7-2023;6.477000
16-7-2023;6.464808
15-7-2023;6.452616
14-7-2023;6.437376
13-7-2023;6.422136
12-7-2023;6.403848
11-7-2023;6.394704
10-7-2023;6.379464
9-7-2023;6.361176
8-7-2023;6.342888
7-7-2023;6.324600
6-7-2023;6.306312
5-7-2023;6.284976
4-7-2023;6.263640
3-7-2023;6.248400
2-7-2023;6.220968
1-7-2023;6.196584
30-6-2023;6.181344
29-6-2023;6.163056
28-6-2023;6.144768
27-6-2023;6.117336
26-6-2023;6.086856
25-6-2023;6.053328
20-6-2023;5.928360
18-6-2023;5.864352
16-6-2023;5.818632
15-6-2023;5.782056
14-6-2023;5.751576
11-6-2023;5.666232
10-6-2023;5.632704
9-6-2023;5.611368
8-6-2023;5.583936
7-6-2023;5.550408
6-6-2023;5.526024
5-6-2023;5.501640
4-6-2023;5.471160
3-6-2023;5.437632
2-6-2023;5.404104
1-6-2023;5.376672
31-5-2023;5.334000
30-5-2023;5.297424
29-5-2023;5.260848
28-5-2023;5.233416
27-5-2023;5.224272
26-5-2023;5.218176
25-5-2023;5.209032
24-5-2023;5.205984
23-5-2023;5.209032
22-5-2023;5.215128
21-5-2023;5.218176
20-5-2023;5.224272
19-5-2023;5.224272
18-5-2023;5.233416
17-5-2023;5.242560
16-5-2023;5.254752
15-5-2023;5.282184
14-5-2023;5.303520
13-5-2023;5.312664
12-5-2023;5.327904
11-5-2023;5.343144
10-5-2023;5.370576
9-5-2023;5.391912
8-5-2023;5.398008
7-5-2023;5.410200
6-5-2023;5.428488
5-5-2023;5.449824
4-5-2023;5.465064
3-5-2023;5.480304
2-5-2023;5.489448
1-5-2023;5.495544
30-4-2023;5.507736
29-4-2023;5.519928
28-4-2023;5.535168
27-4-2023;5.544312
26-4-2023;5.565648
25-4-2023;5.574792
24-4-2023;5.586984
23-4-2023;5.602224
22-4-2023;5.611368
21-4-2023;5.617464
20-4-2023;5.623560
19-4-2023;5.635752
18-4-2023;5.635752
17-4-2023;5.647944
16-4-2023;5.666232
15-4-2023;5.681472
14-4-2023;5.696712
13-4-2023;5.708904
12-4-2023;5.724144
11-4-2023;5.748528
10-4-2023;5.769864
9-4-2023;5.788152
8-4-2023;5.806440
7-4-2023;5.833872
6-4-2023;5.861304
5-4-2023;5.873496
4-4-2023;5.882640
3-4-2023;5.913120
2-4-2023;5.946648
1-4-2023;5.989320
31-3-2023;6.010656
30-3-2023;6.062472
29-3-2023;6.108192
28-3-2023;6.153912
27-3-2023;6.196584
26-3-2023;6.236208
25-3-2023;6.272784
24-3-2023;6.288024
23-3-2023;6.342888
22-3-2023;6.361176
21-3-2023;6.379464
20-3-2023;6.394704
19-3-2023;6.422136
18-3-2023;6.443472
17-3-2023;6.464808
16-3-2023;6.480048
15-3-2023;6.513576
14-3-2023;6.547104
13-3-2023;6.574536
12-3-2023;6.605016
11-3-2023;6.632448
10-3-2023;6.672072
9-3-2023;6.705600
8-3-2023;6.745224
7-3-2023;6.787896
6-3-2023;6.821424
5-3-2023;6.858000
4-3-2023;6.897624
3-3-2023;6.909816
2-3-2023;6.949440
1-3-2023;6.967728
28-2-2023;6.986016
27-2-2023;6.992112
26-2-2023;7.019544
25-2-2023;7.040880
24-2-2023;7.062216
23-2-2023;7.068312
22-2-2023;7.059168
21-2-2023;7.074408
20-2-2023;7.083552
19-2-2023;7.095744
18-2-2023;7.117080
17-2-2023;7.141464
16-2-2023;7.141464
15-2-2023;7.156704
14-2-2023;7.150608
13-2-2023;7.168896
12-2-2023;7.168896
11-2-2023;7.168896
10-2-2023;7.168896
9-2-2023;7.159752
8-2-2023;7.156704
7-2-2023;7.159752
6-2-2023;7.150608
5-2-2023;7.147560
4-2-2023;7.141464
3-2-2023;7.144512
2-2-2023;7.138416
1-2-2023;7.135368
31-1-2023;7.135368
30-1-2023;7.138416
29-1-2023;7.135368
28-1-2023;7.132320
27-1-2023;7.132320
26-1-2023;7.135368
25-1-2023;7.126224
24-1-2023;7.129272
23-1-2023;7.129272
22-1-2023;7.120128
21-1-2023;7.120128
20-1-2023;7.117080
19-1-2023;7.107936
18-1-2023;7.098792
17-1-2023;7.101840
16-1-2023;7.092696
15-1-2023;7.092696
14-1-2023;7.092696
13-1-2023;7.092696
12-1-2023;7.086600
11-1-2023;7.080504
10-1-2023;7.080504
9-1-2023;7.080504
8-1-2023;7.080504
7-1-2023;7.077456
6-1-2023;7.074408
5-1-2023;7.068312
4-1-2023;7.062216
3-1-2023;7.043928
2-1-2023;7.053072
1-1-2023;7.043928
31-12-2022;7.037832
30-12-2022;7.031736
29-12-2022;7.022592
28-12-2022;7.013448
27-12-2022;7.010400
26-12-2022;7.004304
25-12-2022;6.998208
24-12-2022;6.995160
23-12-2022;6.992112
22-12-2022;6.982968
21-12-2022;6.976872
20-12-2022;6.976872
19-12-2022;6.973824
18-12-2022;6.967728
17-12-2022;6.958584
16-12-2022;6.949440
15-12-2022;6.937248
14-12-2022;6.928104
13-12-2022;6.928104
12-12-2022;6.925056
11-12-2022;6.918960
10-12-2022;6.909816
9-12-2022;6.900672
8-12-2022;6.894576
7-12-2022;6.888480
6-12-2022;6.882384
5-12-2022;6.870192
4-12-2022;6.867144
3-12-2022;6.867144
2-12-2022;6.851904
1-12-2022;6.848856
30-11-2022;6.845808
29-11-2022;6.833616
28-11-2022;6.827520
27-11-2022;6.815328
26-11-2022;6.809232
25-11-2022;6.809232
24-11-2022;6.803136
23-11-2022;6.793992
22-11-2022;6.787896
21-11-2022;6.781800
20-11-2022;6.775704
19-11-2022;6.769608
18-11-2022;6.763512
17-11-2022;6.754368
16-11-2022;6.748272
15-11-2022;6.742176
14-11-2022;6.733032
13-11-2022;6.726936
12-11-2022;6.720840
11-11-2022;6.711696
10-11-2022;6.705600
9-11-2022;6.702552
8-11-2022;6.699504
7-11-2022;6.693408
6-11-2022;6.684264
5-11-2022;6.669024
4-11-2022;6.669024
3-11-2022;6.662928
2-11-2022;6.653784
1-11-2022;6.647688
31-10-2022;6.638544
30-10-2022;6.623304
29-10-2022;6.623304
28-10-2022;6.623304
27-10-2022;6.617208
26-10-2022;6.620256
25-10-2022;6.611112
24-10-2022;6.614160
23-10-2022;6.620256
22-10-2022;6.623304
21-10-2022;6.626352
20-10-2022;6.626352
19-10-2022;6.632448
18-10-2022;6.638544
17-10-2022;6.635496
16-10-2022;6.635496
15-10-2022;6.635496
14-10-2022;6.629400
13-10-2022;6.626352
12-10-2022;6.620256
11-10-2022;6.617208
10-10-2022;6.611112
9-10-2022;6.605016
8-10-2022;6.598920
7-10-2022;6.583680
6-10-2022;6.568440
5-10-2022;6.553200
4-10-2022;6.541008
3-10-2022;6.528816
2-10-2022;6.516624
1-10-2022;6.501384
30-9-2022;6.489192
29-9-2022;6.477000
28-9-2022;6.467856
27-9-2022;6.452616
26-9-2022;6.437376
25-9-2022;6.422136
24-9-2022;6.406896
23-9-2022;6.397752
22-9-2022;6.388608
21-9-2022;6.373368
20-9-2022;6.358128
19-9-2022;6.342888
18-9-2022;6.324600
17-9-2022;6.315456
16-9-2022;6.303264
15-9-2022;6.291072
14-9-2022;6.275832
13-9-2022;6.260592
12-9-2022;6.239256
11-9-2022;6.227064
10-9-2022;6.208776
9-9-2022;6.190488
8-9-2022;6.172200
7-9-2022;6.156960
6-9-2022;6.138672
5-9-2022;6.117336
4-9-2022;6.099048
3-9-2022;6.086856
2-9-2022;6.071616
1-9-2022;6.053328
31-8-2022;6.035040
30-8-2022;6.013704
29-8-2022;5.989320
28-8-2022;5.964936
27-8-2022;5.946648
26-8-2022;5.928360
25-8-2022;5.910072
24-8-2022;5.891784
23-8-2022;5.873496
22-8-2022;5.849112
21-8-2022;5.827776
20-8-2022;5.803392
19-8-2022;5.782056
18-8-2022;5.757672
17-8-2022;5.736336
16-8-2022;5.711952
15-8-2022;5.687568
14-8-2022;5.663184
13-8-2022;5.641848
12-8-2022;5.623560
11-8-2022;5.602224
10-8-2022;5.580888
9-8-2022;5.553456
8-8-2022;5.529072
7-8-2022;5.507736
6-8-2022;5.483352
5-8-2022;5.458968
4-8-2022;5.437632
3-8-2022;5.416296
